model,elpd_loo,safe_elpd_loo,elpd_diff,safe_elpd_diff,dse,safe_dse,elpd_diff_quantile,n_bad_k,n_vars
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_mean_p(6)(p=5.0, 10)]",-81636.26740670612,-81636.26740670612,298.4648462000191,301.70748758261567,53.35145392994924,53.25206124895942,-0.16856026166091276,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_mean_p(5)(p=5.0, 10)]",-81636.89614186714,-81636.89614186714,299.0935813610432,302.1825365574258,48.91582316459916,48.81740376030983,-0.1658981536677182,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_max_p(5)(p=2.5, 20)]",-81637.2651059541,-81637.2651059541,299.46254544799655,302.69130358566673,53.43689926370848,53.33850876234867,-0.16701447015487544,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmean_log_p(3)(p=2.5, 5)]",-81637.72638564391,-81637.72638564391,299.92382513781286,303.1564457365178,51.17007063699852,51.067066344680796,-0.16754731026795755,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_mean_p(4)(p=5.0, 10)]",-81638.05194842562,-81638.05194842562,300.24938791952025,303.4647467593437,51.34100331753482,51.239432160617476,-0.1662932525910623,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_max_p(4)(p=2.5, 20)]",-81638.30985823469,-81638.30985823469,300.5072977285836,303.72295055161055,51.36579106544691,51.26424983538014,-0.16628493025410093,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_min_p(6)(p=2.5, 20)]",-81638.96518920884,-81638.96518920884,301.1626287027449,304.39227817603194,52.68527047267746,52.58541435185397,-0.16800505615424696,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_max_p(3)(p=2.5, 20)]",-81640.6922013401,-81640.69204870792,302.889640834003,306.0580035435336,50.87006477907291,50.77051679237169,-0.16817004475175673,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmax_log_p(3)(p=2.5, 5)]",-81640.8462011164,-81640.8462011164,303.0436406102906,306.2974822429927,50.84051361986801,50.735470161593824,-0.16799935820338455,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_mean_p(5)(p=5.0, 10)]",-81642.67700744857,-81642.67700744857,304.8744469424778,308.10024117197474,53.11814821650113,53.01933359745081,-0.16686225359715473,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_max_p(5)(p=2.5, 20)]",-81643.62475256357,-81643.62475256357,305.8221920574566,308.85550798636274,50.86020439314484,50.76890660702846,-0.1673678463382239,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_mean_p(2)(p=5.0, 10)]",-81653.35482685962,-81645.19241927602,315.55226635351755,315.294752848127,52.249725577262495,52.09155312151576,-0.1664490905881305,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[rh_mean_p(3)(p=2.5, 5)]",-81645.91384878772,-81645.91384878772,308.1112882816268,311.2535717204954,51.106728003007134,51.00924232615843,-0.1603214967418115,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[rh_mean_p(2)(p=2.5, 5)]",-81646.08272705672,-81646.08272705672,308.28016655061924,311.11433480309546,50.75306668218954,50.67315148625143,-0.1811685575080425,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmax_log_p(2)(p=2.5, 5)]",-81647.29110033647,-81647.29110033647,309.48853983036486,312.7197621906756,53.88695081018855,53.789209909200615,-0.1791200887012579,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmean_log_p(3)(p=2.5, 5)]",-81648.26629514093,-81648.26629514093,310.4637346348253,312.49267850373406,33.88147972415137,33.819897345673155,-0.0895051127176853,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmean_log_p(0)(p=2.5, 5)]",-81648.74279582404,-81648.74279582404,310.94023531794585,314.190167430944,52.731106154626694,52.63005844669806,-0.1739423126748456,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmean_log_p(2)(p=2.5, 5)]",-81648.94531293008,-81648.94531293008,311.14275242397594,313.74653024475924,50.57488788217055,50.50714763447817,-0.17940137610615178,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[rh_mean_p(2)(p=2.5, 5)]",-81696.44204983616,-81649.59947396623,358.63948933006213,354.57618219284154,31.344997493971295,30.713599187324164,-0.07889278623122425,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_mean_p(1)(p=5.0, 10)]",-81650.33297536953,-81650.33213814418,312.53041486343767,314.98422734976276,51.921420003770805,51.86279757135646,-0.16560577594374384,2,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmax_log_p(6)(p=2.5, 5)]",-81654.60774330053,-81654.60774330053,316.8051827944343,318.7380555976864,35.05166606653449,34.99760227192069,-0.09009040278220902,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_max_p(3)(p=2.5, 20)]",-81655.14927827376,-81655.14927827376,317.3467177676572,320.5572028143631,54.192372215105934,54.09640340587857,-0.17117192325299052,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmax_log_p(3)(p=2.5, 5)]",-81655.57621015077,-81655.57621015077,317.7736496446714,320.2191103815212,32.47849522562565,32.385297254052325,-0.08731304894035255,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_max_p(2)(p=2.5, 20)]",-81656.68312596818,-81656.68312596818,318.88056546208685,321.79129075779053,49.73540352794574,49.64937570812258,-0.17375637030689547,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_mean_p(0)(p=5.0, 10)]",-81658.1335583221,-81658.13350718288,320.3309978160056,323.56580923499024,52.35287634529843,52.25201804879316,-0.1684330932539212,1,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmax_log_p(0)(p=2.5, 5)]",-81662.17572561512,-81662.17572561512,324.3731651090096,326.50711109580607,30.37363769010441,30.297629310493377,-0.07931582843010221,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmax_log_p(1)(p=2.5, 5)]",-81664.83334123174,-81664.83334123174,327.0307807256502,330.2050026323511,52.94926895163863,52.85321816583124,-0.16768522898792995,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmax_log_p(1)(p=2.5, 5)]",-81665.49362448097,-81665.49362448097,327.6910639748819,330.3085131490054,30.9892045139788,30.877307611187728,-0.07722588128759221,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmean_log_p(0)(p=2.5, 5)]",-81669.50529116741,-81669.50529116741,331.70273066131085,334.8442073819366,48.44057117571116,48.33769757225728,-0.17072538986392624,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmax_log_p(0)(p=2.5, 5)]",-81672.11942394695,-81672.11942394695,334.31686344084335,337.55453485508883,53.03049136553754,52.93071005623737,-0.1712092987064772,0,3
